Date,24h Average,12h Average,Last,Volume (BTC)
2017-03-28,116267.94,116944.73,117336.1,11.61482887
2017-03-27,112987.64,113372.74,111851.56,16.36124865
2017-03-26,113227.42,116138.79,120197.51,6.36880753
2017-03-25,104888.21,106454.95,104782.4,10.05706817
2017-03-24,110758.52,112069.47,116210.15,20.82022954
2017-03-23,114015.26,115759.34,113028.85,7.58851057
2017-03-22,118500.66,117677.56,123017.78,13.62465684
2017-03-21,122525.73,123006.71,119436.37,13.49322683
2017-03-19,116904.13,117261.45,125336.61,2.65457068
2017-03-18,115767.02,113372.56,114342.61,21.43998665
2017-03-17,125037.71,126570.11,116480.79,15.80429132
2017-03-16,130820.3,130542.74,128224.07,30.96625061
2017-03-15,133027.71,132985.92,137847.39,10.38812274
2017-03-14,131322.61,133001.48,135135.14,13.6374
2017-03-13,134424.54,134695.31,132978.72,8.84
2017-03-12,127422.44,127149.0,129032.26,10.0641
2017-03-11,126858.62,126606.1,117508.81,13.4971
2017-03-10,125645.86,126919.88,133928.57,7.8473
2017-03-08,129711.0,128122.04,127059.16,8.4945
2017-03-07,131322.32,131451.81,140845.07,5.4292
2017-03-06,130949.82,131270.06,134770.89,3.5241
2017-03-05,132188.66,131595.57,136612.02,7.0175
2017-03-04,132184.25,132668.74,138248.85,8.4973
2017-03-03,128337.68,129904.28,134048.26,11.496
2017-03-02,126025.08,127628.37,128534.7,11.8407
2017-03-01,123418.86,122988.03,128205.13,12.5943
2017-02-28,124934.96,125161.6,128588.52,6.881
2017-02-27,123690.76,123650.22,129366.11,5.8224
2017-02-26,121333.81,119855.16,117855.16,16.3234
2017-02-25,123105.98,121936.61,117169.14,10.4486
2017-02-24,118821.01,118713.27,119675.6,6.6212
2017-02-23,116820.28,116152.7,123609.39,9.9662
2017-02-22,114886.66,115474.78,121951.22,13.0151
2017-02-21,112890.32,113999.92,108871.3,8.3738
2017-02-20,114051.65,114010.13,115207.37,3.7312
2017-02-19,112133.68,112295.78,111196.84,10.0752
2017-02-18,109039.58,109320.45,109106.19,9.9949
2017-02-17,107840.61,108204.91,108571.43,11.147
2017-02-16,106547.7,106670.08,104123.22,8.5956
2017-02-15,108037.53,108487.78,105538.01,8.9305
2017-02-14,106534.88,108836.11,111482.72,6.0572
2017-02-13,107931.0,108478.45,101631.76,1.6802
2017-02-12,107951.67,106630.77,111111.11,6.0616
2017-02-11,101264.89,101362.3,110514.68,6.8205
2017-02-10,107052.62,103818.11,100267.01,8.0134
2017-02-09,108160.31,108055.26,114961.73,8.9015
2017-02-08,108849.78,108561.17,103144.19,9.9158
2017-02-06,106879.53,107954.01,107907.6,8.1923
2017-02-05,106105.08,106896.4,110136.45,8.2266
2017-02-04,107059.44,107944.39,108853.41,11.3105
2017-02-03,103961.44,104287.01,107181.14,12.2929
2017-02-02,101362.34,101028.53,101101.2,12.3893
2017-02-01,98880.14,99141.04,93756.08,11.9305
2017-01-31,97905.27,97618.66,99108.03,6.3724
2017-01-30,97975.68,98306.09,98039.22,5.7418
2017-01-29,97127.31,96763.58,99206.35,4.4688
2017-01-28,98083.94,97978.47,99009.9,5.8764
2017-01-27,96732.01,98242.78,99502.49,8.7546
2017-01-26,96200.71,95922.91,93008.84,10.3469
2017-01-25,94092.66,93683.82,97641.51,17.5188
2017-01-24,98864.16,97383.27,100430.42,12.4393
2017-01-23,97082.67,96506.05,98522.17,9.3643
2017-01-22,95819.37,95356.48,98814.23,6.7811
2017-01-21,94030.45,93680.53,93420.77,5.7369
2017-01-20,93379.74,94032.44,96899.22,7.218
2017-01-19,93726.45,93487.32,93283.58,5.6904
2017-01-18,94437.11,95087.52,97684.89,7.9218
2017-01-17,88021.78,88055.3,86851.63,15.0502
2017-01-16,88459.76,89523.82,91902.31,12.5612
2017-01-15,90850.45,90500.15,94339.62,7.2576
2017-01-14,87530.83,89097.27,86595.6,10.8488
2017-01-13,83017.68,84445.01,80840.74,14.6686
2017-01-12,91241.56,86820.0,85543.2,24.4323
2017-01-11,95309.33,94452.25,97560.98,5.8913
2017-01-10,93701.69,92738.95,98280.1,18.6677
2017-01-09,94323.64,93600.5,91395.62,6.6429
2017-01-08,89495.03,93079.13,89165.93,9.8211
2017-01-07,98662.0,94766.81,99667.77,14.4396
2017-01-06,110851.54,108261.45,106837.61,20.045
2017-01-05,111287.6,112296.39,112913.82,11.6194
2017-01-04,104677.14,103335.48,101518.4,14.4442
2017-01-03,103651.35,103617.67,106382.98,10.1289
2017-01-02,100588.24,101043.21,108225.11,5.4357
2017-01-01,98476.15,98563.3,102702.86,17.4189
